EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Manitoba,7/7/2000 12:00:00 AM,"Southern Manitoba, July 7-14, 2000.   Heavy rains occurred throughout July causing major problems in some areas.  On July 7, between 80 -100 millimetres of rain fell in a four hour time-frame, washing out roads and flattening crops.  Winds reached almost 125 km/h, and lightning strikes reached up to 1,000 hits an hour.  The prolonged rainfall resulted in saturated soil, and overland flooding across the province with reports of flooded basements, blocked drainage systems, and backed-up sewers.",0,0,0,2917561,183494.4,7/14/2000 12:00:00 AM,885581,2031980,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Vanguard SK,7/3/2000 12:00:00 AM,"Vanguard SK, July 3, 2000.  The Village of Vanguard and seven surrounding municipalities experienced a severe flood, causing extensive damage to private property and public infrastructure. More than 333 mm of rain – equivalent to the area's annual rainfall – fell on the area in less than 10 hours. Roads were closed, basements flooded, and two bridges were washed out. Nine families were forced from their homes due to flooding.  Residents were also advised not to drink the water for two weeks because the village's water treatment plant and sewer system were submerged during the flood. No deaths or injuries were reported.",0,0,36,3787294,238194.6,7/3/2000 12:00:00 AM,1580762,2206532,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Maritime Provinces,9/23/1999 12:00:00 AM,"Maritime Provinces, September 23, 1999.  Record 1-day rainfall was caused by the remnants of tropical storm Harvey and Hurricane Gert.  Oxford NS was flooded when 2 nearby rivers overtopped their banks, after receiving 200 mm of rain in one day.  A seniors residence of 30 people and 15 families were evacuated from Moncton NB which received 160 mm of rain.  A number of bridges and roads were washed out in the region. In Newfoundland, 10 m whitecaps smashed the breakwater to pieces at Lord's Cove, and destroyed a number of buildings. Wharves were also destroyed in St. Brides, and Plancentia Bay NF.",0,0,90,4912305,317264,9/23/1999 12:00:00 AM,1834365,3077940,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Prince Edward Island,9/7/1999 12:00:00 AM,"Prince Edward Island, September 7, 1999.  More than 200 mm of rain fell in a short period of time during a severe rainstorm.  Flash flooding occured throughout the province; natural and man-made watercourses were overcome.  Eight highways and two bridges were severely damaged, as well as other provincial and municipal infrastructure.  Impacts were also seen on the fisheries and agricultural industries.",0,0,0,1441367,93091.5,9/7/1999 12:00:00 AM,1022030,419337,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Clearwater AB,7/4/1999 12:00:00 AM,"Clearwater AB, July 4-5, 1999.  About 62 cm of snow and 122 mm of rain fell starting on July 2.  Flooding forced more than 300 residents of Clearwater to flee July 4. The flooding destroyed 100 km of roads and several bridges in central Alberta. The North Saskatchewan river peaked at 8.45 m just shy of the flood level.",0,0,350,8751452,565217.6,7/5/1999 12:00:00 AM,2977089,5774363,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,British Columbia,6/16/1999 12:00:00 AM,"British Columbia, June 16-25, 1999.  Flooding on the Skeena in the northwestern part of BC closed roads and highways, and forced 30 people from their homes in Old Remo on June 18. Other cities affected included Hazelton, Usk, Terrace, and Kitimat.  The South Thompson river rose until June 25 and caused only localised flooding.  The Clearwater river in central BC forced 88 people from their homes in Clearwater and Barriere on Sun June 20.  The Fraser river peaked just below 1997 flood levels of 6.5 m and caused low lying areas to flood until June 25.  All the flooding is blamed on the high snowfall of the previous winter.",0,0,118,,,6/25/1999 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,White Rock BC,6/8/1999 12:00:00 AM,"White Rock BC, June 8, 1999. A sudden, intense storm delivered 200 mm of pea-sized hail, and an extra 70 mm of rain in less than 4 hours, created flash floods and mudslides in White Rock, a suburb of Vancouver BC. At its height, the water was over 1.5 m deep. Both streets and basements were flooded, and sewer and water mains backed up causing a health hazard. Emergency workers evacuated people from their homes and closed schools.",0,0,30,,,6/8/1999 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Melita MB,4/1/1999 12:00:00 AM,"Melita MB, April 1999. Melita, Manitoba was threatened by the largest flood in the area since 1976.  The Souris river outflow rose to 169.8 cubic m/s of water compared to its normal outflow of 4.25 cubic m/s.  The Souris river spread to at least 2 km wide at its peak flooding, and almost topped the makeshift dikes.  The flood washed out roads and damaged bridges in several rural municipalities, and made over 800000 hectares of farmland unseedable this year. Both provincial and federal aid was administered in the form of deadline pushbacks and financial assistance.",0,0,0,109195449,7052451,4/1/1999 12:00:00 AM,7292493,3327956,97575000,1000000,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southeastern Saskatchewan,4/1/1999 12:00:00 AM,"Southeastern Saskatchewan, April-June 1999.  Heavy rainfall and flooding over the spring proved to be very costly for Saskatchewan farmers.  Due to all the excess water, farmers were only able to seed a portion of the acres they had planned to, resulting in substantial economic losses. Highways and provincial, municipal and private properties of the region were also damaged.",0,0,0,1717172,110904.5,6/30/1999 12:00:00 AM,345839,1371333,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,British Columbia,3/1/1999 12:00:00 AM,"British Columbia, March 1 - July 30, 1999. Above average spring-runoff brought a freshet flood to such areas of British Columbia as: Terrace, Kitimat, 100 Mile, Kamloops, Prince George and Clearwater. Severe erosion damages, washed out trails, roads, and culverts, heavy rain, landslides, and damages to bridges were also experienced.",,,,22426695,1448441,7/30/1999 12:00:00 AM,12206998,10219697,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Eastern Ontario and Quebec,3/28/1998 12:00:00 AM,"Eastern Ontario and Quebec, March 28 - April 15, 1998. Warm weather and thunderstorms caused spring flooding. In Ontario, the Clyde River, Ottawa River, Mississippi River and rivers feeding Lake Nipissing overflowed. The lower Trent System below Peterborough from Rice Lake to Bay of Quinte also experienced flooding. States of Emergency were declared in these communities: Lanark Highlands, Village of Kearney, Township of Drummond, North Elmsley, Beckwith Township, Carleton Place and Mississippi Mills. In Quebec, over 15 rivers flooded and caused the evacuation of 3,697 people in 140 municipalities. Rivers on the North Shore of St. Lawrence River, St. Lawrence River, Assumption River, Chateauguay River, Richelieu River, Ottawa River, Lake St. Pierre and Lake Champlain flooded. Damage mainly occurred in the MontÃ©rÃ©gie and Mauricie regions.",0,0,3757,27741685,1823111.8,4/15/1998 12:00:00 AM,7246824,14570459,5924402,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River NB,3/9/1998 12:00:00 AM,"Saint John River NB, March 9-10, 1998.  Warm temperatures and a storm delivering 78 mm of rain led to ice break-up, ice jams and flooding along the Saint John River. Roads, bridges and some residences in low lying areas sustained major damages. Some families were isolated for up to a week until the roads were repaired. Areas affected were: Fredericton, Saint John, Moncton, Miramichi and Saint Leonard.",0,0,0,5636784,370434.9,3/10/1998 12:00:00 AM,3550846,2085938,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Lesser Slave Lake area AB,6/17/1997 12:00:00 AM,"Lesser Slave Lake area AB, June 17-20, 1997.  Major flooding occurred in the Lesser Slave Lake area in June.  This resulted in significant damage to property, pasture, and buildings.",0,0,0,664352,44094.2,6/20/1997 12:00:00 AM,,,664352,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern British Columbia,5/1/1997 12:00:00 AM,"Southern BC, May 1, 1997. Below average temperatures, steady precipitation, a heavier than usual snow pack and extensive ground saturation caused flooding in the southern regions of BC. Extensive damage was done to agricultural lands, public works, private property and businesses. Precipitation in notable sites was 40110% above normal. Riverbank erosion, washouts, road closures and landslides affected many communities. The following areas flooded: Kettle River, Kicking Horse River, Elk River, Okanagan Lake, Columbia River, Salmon River, Slocan River, Shuswap Lake South Thompson River and Bulkley river.",0,0,0,40114688,2662479.3,5/1/1997 12:00:00 AM,15472238,10407813,,14234637,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Assiniboine, Red and Winnipeg Rivers MB",4/22/1997 12:00:00 AM,"Assiniboine, Red and Winnipeg Rivers MB, April-May 1997. The province of Manitoba declared a state of emergency on April 22, 1997. Five days later, Emerson was hit. Over 7000 military personnel were employed for 36 days to assist in preventing flood damage and in relocating the 25447 evacuees; communities affected include Emerson, Rosenort, St. Jean Baptiste, Morris, St. Adolphe, Nutimik, Portage la Prairie, Ste. Agathe, St. Norbert, Letellier, Dominion City, Scanterbury, Halbstadt, Brunkhild, Domain, LaSalle, Sanford and Winnipeg.",0,0,25447,498513577,33087184.3,5/14/1997 12:00:00 AM,193808836,23624696,,48480045,,232600000,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Peace River AB,4/19/1997 12:00:00 AM,"Peace River AB, April 19-23, 1997. Heavy snowpacks and a rapid snowmelt caused ice jams on the Peace River which backed up on Heart River, causing flooding of two towns. Peace River and Fort McMurray both sustained damages to homes, crop land, roads, bridges, culverts and businesses.  In the town of Peace River, 50% of the businesses were damaged, along with 20 farm homes and hundreds of bridges and roads; in some areas the water reached levels of 2 meters. A State of Emergency was declared in the town of Peace River, and 4000 people were evacuated.",0,0,4000,47368494,3143926.6,4/23/1997 12:00:00 AM,18664180,8343702,20360612,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,South-Central Saskatchewan,3/30/1997 12:00:00 AM,"South-central SK, March-April 1997. In late March, there was minor flooding in the municipalities of Swift Current and Ponteix.  From March 30 - April 3 1997, a breakup of ice caused flooding in low lying areas along the Moose Jaw River.  A State of Emergency was declared.  Twenty homes were flooded and 140 families (assume a family of 4) were evacuated.",0,0,516,1319475,87575.8,4/3/1997 12:00:00 AM,,,1319475,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Durham ON,1/9/1997 12:00:00 AM,"Durham ON, January 9, 1997. The mayor of Durham declared a State of Emergency due to flooding of the Saugeen River; approximately 200 residents evacuated; some businesses and schools closed; sewage backup; relief efforts continued for over a week due to poor weather conditions, most evacuees had returned by Jan. 24, 1997. Flooding also occurred on Feb. 22-23 1997.",0,0,200,,,1/9/1997 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Nechako River BC,11/29/1996 12:00:00 AM,"Nechako River BC, November 29, 1996. Record low temperatures on November 21, 1996 caused thick ice formation on the Nechako River which resulted in ice jam flooding; an ice jam five kilometres long raised water levels along the low-lying regions of Prince George, flooding industrial and residential areas.",0,0,0,,,11/29/1996 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Montreal and Mauricie Region QC,,,,,,,,,,,,,,,,,
,11/8/1996 12:00:00 AM,"Montreal and Mauricie Region QC, November 8-9, 1996. Severe flooding due to heavy rains occurred in the Montreal and Mauricie regions.  Approximately 150 mm of rain fell on Montréal in 36 hours; some communities received 160 mm. The flooding caused extensive damage to agricultural lands, public works and private property including 6,000 residences and 100 businesses and industries. Two major highways closed near Montréal, washed out roads cut off three villages in Mauricie.  In total, 121 municipalities were affected and 1,000 people (425 families) were evacuated. No injuries were reported.",,,,,,,,,,,,,,,,,,,
,0,0,1000,93089380,6282747.8,11/9/1996 12:00:00 AM,3435141,10709159,,,,78945080,,0,0,,,,,,
